category,name,price,description,gender,product_image
Trainers,New Balance 550 Junior,SGD 129.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_GSB550CK_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike Revolution 6 Junior,SGD 85.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DD1096-102_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,adidas Ultrabounce,SGD 109.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_HQ1302_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike Air Force 1 LV8 Junior,SGD 145.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_FJ7691-191_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,adidas UltraBounce Junior,SGD 109.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_HQ1306_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike Air Max 90 Junior,SGD 145.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DV3607-001_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike Air Max 90 Junior,SGD 145.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DV3607-104_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Lacoste Lerond Junior,SGD 99.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_741CUJ001421G_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Jordan Air 1 Low SE Junior,SGD 169.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DZ6333-083_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike Air Force 1 Junior,SGD 129.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DV7762-101_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
